Item,True,Estimate,AbsError,RelError,Algorithm
3,87,87,0,0.0,CountMinSketch
94,103,103,0,0.0,CountMinSketch
35,100,100,0,0.0,CountMinSketch
31,98,98,0,0.0,CountMinSketch
28,106,106,0,0.0,CountMinSketch
17,116,116,0,0.0,CountMinSketch
13,107,107,0,0.0,CountMinSketch
86,111,111,0,0.0,CountMinSketch
69,105,105,0,0.0,CountMinSketch
11,114,114,0,0.0,CountMinSketch
75,98,191,93,0.9489795918367347,CountMinSketch
54,90,90,0,0.0,CountMinSketch
4,92,92,0,0.0,CountMinSketch
27,89,89,0,0.0,CountMinSketch
29,87,87,0,0.0,CountMinSketch
64,99,99,0,0.0,CountMinSketch
77,94,94,0,0.0,CountMinSketch
71,103,103,0,0.0,CountMinSketch
25,92,92,0,0.0,CountMinSketch
91,84,84,0,0.0,CountMinSketch
83,105,105,0,0.0,CountMinSketch
89,111,111,0,0.0,CountMinSketch
53,100,100,0,0.0,CountMinSketch
57,105,105,0,0.0,CountMinSketch
0,86,86,0,0.0,CountMinSketch
97,104,104,0,0.0,CountMinSketch
20,96,96,0,0.0,CountMinSketch
43,94,94,0,0.0,CountMinSketch
19,107,107,0,0.0,CountMinSketch
48,111,111,0,0.0,CountMinSketch
12,99,99,0,0.0,CountMinSketch
45,93,93,0,0.0,CountMinSketch
44,96,96,0,0.0,CountMinSketch
33,100,100,0,0.0,CountMinSketch
5,108,108,0,0.0,CountMinSketch
93,102,102,0,0.0,CountMinSketch
58,118,118,0,0.0,CountMinSketch
68,109,109,0,0.0,CountMinSketch
15,93,93,0,0.0,CountMinSketch
10,100,100,0,0.0,CountMinSketch
70,113,113,0,0.0,CountMinSketch
37,98,98,0,0.0,CountMinSketch
80,97,97,0,0.0,CountMinSketch
79,87,87,0,0.0,CountMinSketch
46,102,102,0,0.0,CountMinSketch
73,126,126,0,0.0,CountMinSketch
24,91,91,0,0.0,CountMinSketch
90,103,103,0,0.0,CountMinSketch
8,99,99,0,0.0,CountMinSketch
84,120,120,0,0.0,CountMinSketch
98,116,116,0,0.0,CountMinSketch
47,99,99,0,0.0,CountMinSketch
26,85,85,0,0.0,CountMinSketch
85,92,92,0,0.0,CountMinSketch
34,92,92,0,0.0,CountMinSketch
87,112,112,0,0.0,CountMinSketch
82,111,111,0,0.0,CountMinSketch
9,101,101,0,0.0,CountMinSketch
21,93,93,0,0.0,CountMinSketch
59,89,89,0,0.0,CountMinSketch
88,115,115,0,0.0,CountMinSketch
41,106,106,0,0.0,CountMinSketch
99,103,103,0,0.0,CountMinSketch
7,91,91,0,0.0,CountMinSketch
40,107,107,0,0.0,CountMinSketch
51,92,92,0,0.0,CountMinSketch
72,99,99,0,0.0,CountMinSketch
63,97,97,0,0.0,CountMinSketch
50,96,96,0,0.0,CountMinSketch
18,97,97,0,0.0,CountMinSketch
95,98,98,0,0.0,CountMinSketch
74,91,91,0,0.0,CountMinSketch
65,84,84,0,0.0,CountMinSketch
96,95,95,0,0.0,CountMinSketch
6,103,103,0,0.0,CountMinSketch
76,100,100,0,0.0,CountMinSketch
49,102,102,0,0.0,CountMinSketch
67,96,96,0,0.0,CountMinSketch
32,81,81,0,0.0,CountMinSketch
1,90,90,0,0.0,CountMinSketch
92,99,99,0,0.0,CountMinSketch
55,88,88,0,0.0,CountMinSketch
22,106,106,0,0.0,CountMinSketch
